Id,SalePrice
1461,126246.0
1462,153024.5
1463,182942.66
1464,190087.7
1465,202539.5
1466,182272.45
1467,168893.45
1468,172159.5
1469,176477.55
1470,119394.5
1471,190097.04
1472,91922.5
1473,105476.0
1474,149964.7
1475,147452.12
1476,365203.16
1477,257102.07
1478,295875.88
1479,277454.13
1480,413243.36
1481,300738.55
1482,207390.0
1483,176291.34
1484,176153.95
1485,169014.09
1486,199306.95
1487,347112.56
1488,251082.39
1489,214359.29
1490,201973.06
1491,193753.45
1492,102683.04
1493,181609.49
1494,301349.11
1495,293264.39
1496,208758.8
1497,188278.6
1498,153553.48
1499,153859.69
1500,156242.17
1501,163325.54
1502,163280.65
1503,307415.34
1504,227111.66
1505,214723.78
1506,186361.69
1507,216523.32
1508,204195.48
1509,164510.6
1510,149146.5
1511,147606.0
1512,180068.14
1513,152127.95
1514,177212.23
1515,166705.0
1516,164759.7
1517,146792.96
1518,132480.34
1519,217266.68
1520,136817.25
1521,144264.0
1522,167920.0
1523,107396.5
1524,121513.5
1525,127274.1
1526,124136.0
1527,104468.0
1528,124224.25
1529,143433.75
1530,166336.82
1531,126220.59
1532,107348.0
1533,144079.0
1534,116997.08
1535,159576.82
1536,116570.5
1537,82570.5
1538,190889.95
1539,248562.43
1540,133153.32
1541,149744.2
1542,145310.66
1543,213128.64
1544,79169.37
1545,107569.0
1546,122248.0
1547,131571.86
1548,134765.2
1549,119722.5
1550,140059.72
1551,118693.1
1552,152769.68
1553,159236.71
1554,109935.36
1555,174894.92
1556,99543.45
1557,128743.5
1558,95645.54
1559,133804.37
1560,146485.39
1561,164869.5
1562,126976.0
1563,122950.0
1564,164884.22
1565,160902.6
1566,196445.31
1567,84467.0
1568,226350.23
1569,160906.0
1570,131031.0
1571,139539.71
1572,146197.5
1573,227157.01
1574,120851.0
1575,205459.06
1576,218167.36
1577,206153.08
1578,150039.53
1579,145121.7
1580,192340.8
1581,135646.52
1582,127312.0
1583,319479.74
1584,244570.95
1585,140231.0
1586,73641.54
1587,104447.5
1588,147689.95
1589,98707.04
1590,135371.25
1591,102524.75
1592,125832.2
1593,117895.0
1594,141199.55
1595,139943.21
1596,223734.97
1597,171396.03
1598,185137.21
1599,213595.61
1600,192391.57
1601,77075.5
1602,114508.0
1603,104632.0
1604,300612.61
1605,254673.49
1606,162582.5
1607,162180.46
1608,208255.33
1609,199761.19
1610,163041.83
1611,148339.25
1612,170394.35
1613,156510.75
1614,122945.64
1615,91278.5
1616,89888.5
1617,92346.54
1618,127362.5
1619,131827.0
1620,151083.52
1621,139666.56
1622,152382.18
1623,290008.23
1624,218092.58
1625,131150.5
1626,176645.0
1627,195181.0
1628,285902.3
1629,173973.95
1630,350774.5
1631,219952.89
1632,244689.49
1633,164954.37
1634,184217.6
1635,181778.69
1636,156322.72
1637,172423.83
1638,214074.2
1639,180909.2
1640,245974.12
1641,186824.0
1642,215394.47
1643,221377.26
1644,230362.54
1645,188202.5
1646,152116.32
1647,165285.2
1648,136441.75
1649,138584.03
1650,117638.0
1651,115459.5
1652,92355.0
1653,101623.04
1654,161565.85
1655,157038.75
1656,150090.2
1657,157707.35
1658,156590.3
1659,150549.17
1660,146044.33
1661,407565.81
1662,368211.52
1663,386413.24
1664,430825.24
1665,313223.55
1666,335248.67
1667,352050.88
1668,335944.22
1669,305101.94
1670,340738.99
1671,244743.1
1672,416673.11
1673,299555.52
1674,252210.0
1675,181713.31
1676,181570.44
1677,205166.16
1678,395368.43
1679,369833.05
1680,331152.25
1681,276947.44
1682,309164.2
1683,181587.34
1684,174592.45
1685,172886.47
1686,169262.95
1687,166211.97
1688,186924.92
1689,192899.86
1690,183446.35
1691,172586.54
1692,289672.82
1693,166880.37
1694,183589.3
1695,165352.39
1696,265706.24
1697,167963.02
1698,334560.56
1699,304291.24
1700,242081.02
1701,274172.37
1702,260279.67
1703,254687.22
1704,298802.66
1705,251121.49
1706,383365.18
1707,219856.18
1708,217337.28
1709,267613.88
1710,229547.99
1711,277528.58
1712,244399.08
1713,237532.13
1714,218479.95
1715,195773.75
1716,185101.76
1717,161770.87
1718,141119.37
1719,204219.0
1720,246845.44
1721,165501.64
1722,126928.94
1723,151587.25
1724,212363.78
1725,229222.16
1726,188066.33
1727,172788.85
1728,185223.05
1729,162954.88
1730,166966.94
1731,128010.75
1732,130368.0
1733,125604.5
1734,129082.75
1735,134183.0
1736,116788.25
1737,335566.56
1738,220671.75
1739,263326.35
1740,188560.77
1741,187516.21
1742,161344.2
1743,165622.31
1744,324528.52
1745,226692.42
1746,268654.85
1747,216412.33
1748,200848.4
1749,156303.32
1750,143262.5
1751,239797.3
1752,123105.5
1753,145839.73
1754,215815.04
1755,164631.15
1756,120672.1
1757,119896.5
1758,149048.5
1759,165619.6
1760,157558.0
1761,145864.5
1762,174229.28
1763,175556.25
1764,118532.25
1765,170851.05
1766,176609.83
1767,202673.08
1768,136939.75
1769,161422.86
1770,135509.0
1771,135145.5
1772,134494.77
1773,138224.75
1774,135371.64
1775,131829.25
1776,121530.0
1777,115244.0
1778,125139.75
1779,122809.5
1780,178555.3
1781,130413.5
1782,96839.0
1783,133680.93
1784,97758.0
1785,118956.5
1786,155404.7
1787,163783.94
1788,68258.04
1789,105901.83
1790,92556.0
1791,176792.01
1792,154696.64
1793,140547.1
1794,140844.2
1795,137688.5
1796,130087.0
1797,120222.54
1798,122266.5
1799,114822.0
1800,125849.5
1801,127084.59
1802,152856.44
1803,153719.33
1804,140541.32
1805,133187.0
1806,109956.66
1807,139023.71
1808,125178.64
1809,138845.37
1810,146767.75
1811,133170.46
1812,125436.86
1813,118108.5
1814,97712.5
1815,74350.5
1816,103576.5
1817,125754.33
1818,144518.87
1819,115794.02
1820,82710.54
1821,130842.21
1822,151236.22
1823,70412.0
1824,131749.91
1825,140033.2
1826,107248.0
1827,110986.5
1828,139514.23
1829,114325.5
1830,149377.23
1831,162399.5
1832,126374.68
1833,145803.9
1834,134459.9
1835,178217.53
1836,140836.84
1837,97020.0
1838,132645.88
1839,89063.5
1840,160576.3
1841,146215.0
1842,99575.04
1843,140232.5
1844,139739.05
1845,154759.99
1846,148541.32
1847,154014.44
1848,68745.5
1849,118052.74
1850,123769.75
1851,153116.68
1852,126036.0
1853,130530.75
1854,168662.41
1855,145048.78
1856,221755.4
1857,169690.54
1858,149725.84
1859,133003.32
1860,148300.46
1861,132867.04
1862,289506.49
1863,286096.79
1864,286096.79
1865,347572.01
1866,337160.26
1867,255186.52
1868,311623.69
1869,192072.44
1870,250045.33
1871,264310.79
1872,168595.69
1873,226157.11
1874,136733.5
1875,204528.16
1876,191811.7
1877,204157.42
1878,209850.51
1879,133298.0
1880,137668.9
1881,238032.84
1882,267427.18
1883,196647.75
1884,220097.76
1885,260551.95
1886,304558.76
1887,192346.57
1888,286149.89
1889,166158.07
1890,136593.75
1891,143603.54
1892,108036.5
1893,138704.0
1894,146443.48
1895,152641.5
1896,119808.5
1897,113027.08
1898,105028.58
1899,134729.5
1900,141981.68
1901,172583.5
1902,134884.57
1903,213330.01
1904,131950.0
1905,176530.07
1906,162829.91
1907,200046.0
1908,123949.16
1909,137742.76
1910,131496.75
1911,196123.2
1912,259233.15
1913,155300.93
1914,73973.5
1915,341691.72
1916,75677.0
1917,263534.21
1918,137386.35
1919,157737.34
1920,149123.79
